id,full_name,player_slug,position
f3bac706-f2a8-45d2-9664-ee0105dd0a3a,Jacquizz Rodgers,jacquizz-rodgers,RB
ce7fc649-7bd5-4e27-8c3f-40728d53686b,Jahmyr Gibbs,jahmyr-gibbs,RB
a83dbf4f-8acf-4159-a139-0dcd662b9bf3,Jake Delhomme,jake-delhomme,QB
8f7f4da1-9c5c-40e6-ad06-1134bd769104,Jakobi Meyers,jakobi-meyers,WR
04fd43ae-3840-4abb-81aa-fcff333dfe4d,Jalen Hurts,jalen-hurts,QB
76e58150-199d-4af0-9035-d1859d0fdf85,Jamaal Charles,jamaal-charles,RB
3cd7e459-f75f-44fc-adbc-11d2e4662eec,Jamaal Williams,jamaal-williams,RB
ea3716fb-c50b-4771-b82c-f7f6d3c726a1,Jamal Lewis,jamal-lewis,RB
99ab3604-35d8-49a1-8e94-9fa22ed9e7c5,Jameis Winston,jameis-winston,QB
d2b30f91-9400-4130-abaf-48a15a2d9557,James Allen,james-allen,RB
75d659c3-81fe-4c63-8e68-6228a8e8ab1e,James Conner,james-conner,RB
7e7aea20-def3-427c-ab6d-223273a4664d,James Cook,james-cook,RB
6fb80626-0b1c-4a66-beed-f685dc3970a4,James Garoppolo,james-garoppolo,QB
be52040c-1cf4-41b6-98c8-f61bdc0d33e5,James Johnson,james-johnson,QB
e8880081-530a-4435-9790-2ee8850f6ad9,James Jones,james-jones,WR
584425db-52e9-48ad-86b5-022cc1d37471,James Pennington,james-pennington,QB
6db9946d-e124-4afd-8db4-ee4857ab4319,James Robinson,james-robinson,RB
1a9892f9-cd9b-4346-819a-283959a35b4c,James Smith,james-smith,WR
68095e66-26c9-4d69-85af-68891bb3e6a7,James Starks,james-starks,RB
b82789e7-5a54-4b30-85ee-8a49714711bd,James Stewart,james-stewart,RB
4e9a250d-83cb-4b07-9b4d-bf19c98f7fcc,James Thrash,james-thrash,WR
8474287b-c511-4453-b90d-d04cc4b10957,Jamison Crowder,jamison-crowder,WR
f43611bf-d7ac-410e-9940-96173c106299,Jared Goff,jared-goff,QB
ea8fb32e-9a07-4377-8880-ec07c1b60662,Jarius Wright,jarius-wright,WR
2b746527-959b-48cb-bd21-43b45ab1b881,Jarvis Landry,jarvis-landry,WR
7949fbe8-4013-49d1-8257-c900a5fb200a,Jason Avant,jason-avant,WR
379ca33b-b3df-4d86-8ebf-f4ffd904d980,Jason Campbell,jason-campbell,QB
7efcb708-d004-445c-a6c8-a87322386a96,Jason Plummer,jason-plummer,QB
bbba61ce-d284-49aa-959f-9eaadf236fbb,Javon Walker,javon-walker,WR
422c87a9-5f5c-49f6-b6bf-63986be1ba91,Javonte Williams,javonte-williams,RB
21db9848-e7ef-4120-8b58-a861d6a90e4b,Jay Cutler,jay-cutler,QB
b4c99d97-2141-406b-b2f9-0485d59b76c6,Jay Fiedler,jay-fiedler,QB
c090802c-f26f-4f1c-a0ee-70be75639f17,Jaylen Waddle,jaylen-waddle,WR
9154c41f-61bf-46d6-b5fc-d1ba54e74b5d,Jeff Garcia,jeff-garcia,QB
4d3e95b8-fa8f-456a-a89d-71bc36e71248,Jeffery Blake,jeffery-blake,QB
0795d021-d214-4be0-9562-17d512635477,Jeffery Wilson,jeffery-wilson,RB
523a0110-25ab-4fc9-9599-0807322e4118,Jeremy Hill,jeremy-hill,RB
a8be2752-bf12-4004-81de-bde659b73ff3,Jeremy Kerley,jeremy-kerley,WR
0aecfc09-597b-419e-b7b2-5456728f1465,Jeremy Maclin,jeremy-maclin,WR
083b1cc1-a8f7-4e20-b476-53158cd18439,Jerick McKinnon,jerick-mckinnon,RB
074388c5-8a97-488e-9180-54bdd217c2dc,Jermaine Kearse,jermaine-kearse,WR
dd3e0afd-eed1-48d7-851a-c79edaf26b37,Jerome Bettis,jerome-bettis,RB
5cb0acdb-2a61-4f9f-8222-d8b16a73b763,Jerome Pathon,jerome-pathon,WR
141bfa67-1fc3-4c49-8307-959661487069,Jerricho Cotchery,jerricho-cotchery,WR
d3a30618-26ae-44e8-8cca-94d9dcaa8c4e,Jerry Jeudy,jerry-jeudy,WR
3e26380f-dad0-4812-a6dc-77c8091f76f6,Jerry Porter,jerry-porter,WR
27e1f89f-cb66-4aaf-8834-11d1c3893bc3,Jerry Rice,jerry-rice,WR
1d8e7b56-5b68-4c8b-a680-57f330591823,Jimmy Smith,jimmy-smith,WR
